# Feed created for the Stratosphere Linux IPS
# type: domain, ip
# ioc: indicator
#"type","ioc","description","date_added"
domain,apibazaarvoice.com,Magecart Domain C2,2020-05-31
ip,104.248.46.244,Magecart IP C2,2020-05-31
domain,happykid.in, Magecart Domain delivery,2020-05-31
ip,206.189.136.20,Magecart IP delivery,2020-05-31
ip,45.197.141.250,Magecart IP C2,2020-05-31
domain,rumetonare.com,Dridex Domain delievery,2020-05-01
ip,84.38.180.4,Dridex IP requested,2020-05-01
domain,nurofenpanadol.su,Neutrino Domain C2,2020-02-08
domain,ns.dotbit.me,Neutrino Domain C2,2020-02-08
domain,alors.deepdns.cryptostorm.net,Neutrino Domain C2,2020-02-08
domain,onyx.deepdns.cryptostorm.net,Neutrino Domain C2,2020-02-08
domain,ns1.any.dns.d0wn.biz,Neutrino Domain C2,2020-02-08
domain,ns1.random.dns.d0wn.biz,Neutrino Domain C2,2020-02-08
domain,civet.ziphaze.com,Neutrino Domain C2,2020-02-08
domain,anyone.dnsrec.meo.ws,Neutrino Domain C2,2020-02-08
domain,ist.fellig.org,Neutrino Domain C2,2020-02-08
domain,ns1.sg.dns.d0wn.biz,Neutrino Domain C2,2020-02-08
domain,ns2.fr.dns.d0wn.biz,Neutrino Domain C2,2020-02-08
domain,ns1.nl.dns.d0wn.biz,Neutrino Domain C2,2020-02-08
ip,178.17.170.133,Neutrino IP C2,2020-02-08
ip,107.161.16.236,Neutrino IP C2,2020-02-08
ip,46.254.21.69,Neutrino IP C2,2020-02-08
ip,185.14.29.140,Neutrino IP C2,2020-02-08
ip,37.187.0.40,Neutrino IP C2,2020-02-08
ip,178.63.145.236,Neutrino IP C2,2020-02-08
ip,95.85.9.86,Neutrino IP C2,2020-02-08
ip,128.199.248.105,Neutrino IP C2,2020-02-08
domain,maps.doaglas.com,Terraloader Domain C2,2020-04-12
ip,190.10.8.23,Terraloader IP C2,2020-04-12
domain,d27qdop2sa027t.cloudfront.net, Terraloader Domain C2,2021-03-27
ip,95.179.252.217,url delievery,2020-04-27
ip,136.244.67.59,url C2,2020-04-27
domain,schedule.winupdate.workers.dev,domain requested,2020-04-27
ip,104.31.70.75,IP requested,2020-04-27
ip,51.83.171.37,IP C2,2020-05-07
domain,softcheck3u.biz,URL C2,2020-05-07
ip,54.36.185.104,IP C2,2019-12-02
ip,45.88.77.34,IP C2,2019-09-06
domain,sissj.space,Domain C2,2019-09-06
domain,sissj.site,Domain C2,2019-04-27
domain,z2uymda1mtk.top,Domain C2,2020-06-15
domain,documento.smarterrealestateinvesting.com,Domain delivery,2020-06-15
ip,31.214.157.27,IP delivery,2020-06-15
ip,185.219.221.102,IP C2,2020-06-15
domain,documento.selltokengarffhonda.com,Domain delivery ,2020-06-18
ip,194.76.224.223,Domain delivery,2020-06-18
ip,217.8.117.29,IP C2,2020-09-07
ip,167.88.180.148,Chinese APT campaign IP C2,2020-08-19
domain,www.apple-net.com,Chinese APT campaign Domain C2,2020-08-19
domain,en-content.com,Donot Domain requested,2019-09-17
domain,bsodsupport.icu,Donot Domain requested,2019-09-17
domain,cloud-storage-service.com,Donot Domain requested,2019-09-17
domain,office360-pub.16mb.com,Donot Domain requested,2019-09-17
domain,noitfication-office-client.890m.com,Donot Domain requested,2019-09-17
domain,plug.msplugin.icu,Donot Domain requested,2019-09-17
domain,mscheck.icu,Donot Domain requested,2019-09-17
domain,sdn.host,Donot Domain requested,2019-09-17
ip,178.62.186.233,Donot IP requested,2019-09-17
ip,156.67.222.128,Donot IP requested,2019-09-17
ip,159.89.104.38,Donot IP requested,2019-09-17
ip,157.230.213.81,Donot IP requested,2019-09-17
ip,146.185.139.134,Donot IP requested,2019-09-17
domain,support.worldupdate.live,Donot Domain C2,2019-09-17
domain,account-support.site,Donot Domain C2,2019-09-17
domain,skillsnew.top,Donot Domain C2,2019-09-17
domain,mystrylust.pw,Donot Domain C2,2019-09-17
ip,216.170.126.139,Donot IP C2,2019-09-17
ip,46.105.40.12,Donot IP C2,2019-09-17
ip,82.196.7.221,Donot IP C2,2019-09-17
ip,37.139.28.208,Donot IP C2,2019-09-17
ip,185.157.78.135,Patchwork IP C2,2020-07-23
domain,altered.twilightparadox.com,Patchwork hostname,2020-07-23
domain,go.affec.tv,Patchwork Domain C2,2019-09-09
ip,99.84.194.39,Patchwork IP C2,2019-09-09
ip,178.62.190.33, SideWinder IP C2,2019-11-10
domain,trans-can.net, SideWinder Domain C2,2019-11-10
ip,185.225.17.40,SideWinder IP C2,2019-12-25
domain,ap1-acl.net,SideWinder Domain C2,2019-12-25
ip,213.227.155.25, APT33 URL requested,2019-11-16
ip,185.244.149.202,Muddywater IP C2,2020-06-02
ip,185.82.202.70,Muddywater IP C2,2020-06-10
ip,185.106.122.72,Muddywater IP C2,2020-06-16
ip,185.106.122.78,Muddywater URL C2,2020-06-16
ip,185.82.202.66,Muddywater URL C2,2020-06-25
domain,mydownload-202001.c1.biz,Konni Domain C2,2020-04-23
ip,185.176.43.92,Konni IP C2,2020-04-23
domain,mybobo.mygamesonline.org,Kimsuky URL delivery,2020-03-20
domain,crphone.mireene.com,Kimsuky URL C2,2020-03-20
domain,astedams.it,Lazarus Domain C2,2020-05-05
ip,51.77.65.154,Lazarus IP C2,2020-05-05
domain,www.sanlorenzoyacht.com,Lazarus URL delievery,2020-05-05
domain,elite4print.com,Lazarus Domain C2,2020-05-05
ip,192.169.250.185,Lazarus IP C2,2020-05-05
domain,od.lk,Lazarus URL delievery,2020-05-05
domain,juliesoskin.com,Lazarus CES2020 Domain C2,2019-10-23
domain,necaled.com,Lazarus CES2020 Domain C2,2019-10-23
domain,valentinsblog.de,Lazarus CES2020 Domain C2,2019-10-23
ip,64.151.229.52,Lazarus CES2020 IP C2,2019-10-23
ip,185.136.207.217,Lazarus CES2020 IP C2,2019-10-23
ip,83.169.17.240,Lazarus CES2020 IP C2,2019-10-23
domain,curiofirenze.com,Lazarus Domain C2,2019-10-23
ip,193.70.64.163,Lazarus IP C2,2019-10-23
domain,crabbedly.club,Lazarus HTTP/HTTPS requests,2019-10-23
domain,craypot.live,Lazarus Domain C2,2019-10-23
domain,indagator.club,Lazarus Domain C2,2019-10-23
ip,37.72.175.226,Lazarus IP C2,2019-10-23
ip,23.227.199.96,Lazarus IP C2,2019-10-23
ip,185.236.203.211,Lazarus IP C2,2019-10-23
domain,towingoperations.com,Lazarus HTTP/HTTPS requests,2019-10-23
domain,baseballcharlemagnelegardeur.com,Lazarus HTTP/HTTPS requests,2019-10-23
domain,www.tangowithcolette.com,Lazarus HTTP/HTTPS requests,2019-10-23
ip,67.199.248.14,Gorgon IP requested,2019-09-09
